ID_Media,Type,File,Time_Sec,
1,Clip,Clip1,76,
2,Clip,Clip2,108,
3,Clip,Clip3,104,
4,Clip,Clip4,108,
5,Clip,Clip5,63,
6,Clip,Clip6,76,
7,Clip,Clip7,37,
8,Clip,Clip8,103,
9,Clip,Clip9,44,
10,Clip,Clip10,105,
11,Clip,Clip11,103,
12,Clip,Clip12,81,
13,Clip,Clip13,110,
14,Clip,Clip14,34,
15,Clip,Clip15,91,
16,Clip,Clip16,89,
17,Clip,Clip17,105,
18,Clip,Clip18,69,
19,Clip,Clip19,33,
20,Clip,Clip20,83,
21,Clip,Clip21,101,
22,Clip,Clip22,116,
23,Clip,Clip23,40,
24,Clip,Clip24,44,
25,Clip,Clip25,74,
26,Clip,Clip26,78,
27,Clip,Clip27,40,
28,Clip,Clip28,110,
29,Clip,Clip29,71,
30,Clip,Clip30,64,
31,Clip,Clip31,54,
32,Clip,Clip32,102,
33,Clip,Clip33,89,
34,Clip,Clip34,66,
35,Clip,Clip35,99,
36,Clip,Clip36,118,
37,Clip,Clip37,52,
38,Clip,Clip38,88,
39,Clip,Clip39,81,
40,Clip,Clip40,119,
41,Clip,Clip41,66,
42,Clip,Clip42,65,
43,Clip,Clip43,48,
44,Clip,Clip44,43,
45,Clip,Clip45,73,
46,Clip,Clip46,78,
47,Clip,Clip47,30,
48,Clip,Clip48,101,
49,Clip,Clip49,118,
50,Clip,Clip50,110,
51,Clip,Clip51,62,
52,Clip,Clip52,83,
53,Clip,Clip53,79,
54,Clip,Clip54,30,
55,Clip,Clip55,108,
56,Clip,Clip56,76,
57,Clip,Clip57,30,
58,Clip,Clip58,118,
59,Clip,Clip59,43,
60,Clip,Clip60,51,
61,Clip,Clip61,35,
62,Clip,Clip62,80,
63,Clip,Clip63,52,
64,Clip,Clip64,40,
65,Clip,Clip65,42,
66,Clip,Clip66,83,
67,Clip,Clip67,89,
68,Clip,Clip68,95,
69,Clip,Clip69,116,
70,Clip,Clip70,68,
71,Clip,Clip71,66,
72,Clip,Clip72,36,
73,Clip,Clip73,82,
74,Clip,Clip74,69,
75,Clip,Clip75,63,
76,Clip,Clip76,98,
77,Clip,Clip77,46,
78,Clip,Clip78,64,
79,Clip,Clip79,96,
80,Clip,Clip80,88,
81,Clip,Clip81,87,
82,Clip,Clip82,89,
83,Clip,Clip83,86,
84,Clip,Clip84,90,
85,Clip,Clip85,98,
86,Clip,Clip86,85,
87,Clip,Clip87,77,
88,Clip,Clip88,37,
89,Clip,Clip89,79,
90,Clip,Clip90,98,
91,Clip,Clip91,31,
92,Clip,Clip92,49,
93,Clip,Clip93,107,
94,Clip,Clip94,53,
95,Clip,Clip95,66,
96,Clip,Clip96,66,
97,Clip,Clip97,73,
98,Clip,Clip98,120,
99,Clip,Clip99,70,
