ID_Country,ID_City,ID_Neighborhoods,Neighborhoods,
2,1,1,Manhattan,
2,2,1,Beach_Alanya,
3,1,1,Kremlin,
3,2,1,OldCity,
1,1,1,Bat_Galim,
1,1,2,Denia,
1,1,3,French_Carmel,
1,1,4,German_Colony,
1,1,5,Hadar_HaCarmel,
1,1,6,Kababir,
1,1,7,Kiryat_Eliezer,
1,1,8,Kiryat_Haim,
1,1,9,Kiryat_Shmuel,
1,1,10,Kiryat_Shprintzak,
1,1,11,Matam,
1,1,12,Merkaz_HaCarmel,
1,1,13,Neve_Shaanan,
1,1,14,Ramat_Begin,
1,1,15,Ramat_HaTishbi,
1,1,16,Romema,
1,1,17,Vardia,
1,1,18,Wadi_Nisnas,
1,1,19,Wadi_Salib,
1,2,1,Abu_Kabir,
1,2,2,Ajami,
1,2,3,Azorei_Hen,
1,2,4,Bavli,
1,2,5,Bitzaron,
1,2,6,Ezra,
1,2,7,Florentin,
1,2,8,Ganei_Tzahala,
1,2,9,Givat_Aliyah,
1,2,10,Givat_Amal_Bet,
1,2,11,Givat_HaTmarim,
1,2,12,Givat_Herzl,
1,2,13,HaArgazim,
1,2,14,Hadar_Yosef,
1,2,15,HaKirya,
1,2,16,HaMishtalah,
1,2,17,HaMoshava_HaAmerikait,
1,2,18,HaRakevet,
1,2,19,HaTzafon_HaYashan,
1,2,20,Kerem_Hatemanim,
1,2,21,Kfar_Shalem,
1,2,22,Kiryat_Shalom,
1,2,23,Kokhav_HaTzafon,
1,2,24,Lev_HaIr,
1,2,25,Maoz_Aviv,
1,2,26,Menashiya,
1,2,27,Migdalei_Neeman,
1,2,28,Montefiore,
1,2,29,Nahalat_Yitzhak,
1,2,30,Neot_Afeka,
1,2,31,Neve_Avivim,
1,2,32,Neve_Barbur,
1,2,33,Neve_Ofer,
1,2,34,Neve_Shaanan,
1,2,35,Neve_Sharett,
1,2,36,Neve_Tzahal,
1,2,37,Neve_Tzedek,
1,2,38,Nofei_Yam,
1,2,39,Ohel_Moshe,
1,2,40,Park_Tzameret,
1,2,41,Ramat_Aviv_Aleph,
1,2,42,Ramat_Aviv_Gimmel,
1,2,43,Ramat_Aviv_HaHadasha,
1,2,44,Ramat_HaHayal,
1,2,45,Ramat_HaTayasim,
1,2,46,Ramat_Yisrael,
1,2,47,Ramot_Tzahala,
1,2,48,Revivim_Mild_rainstorms,
1,2,49,Shabazi,
1,2,50,Shapira,
1,2,51,Shikun_Dan,
1,2,52,Shikun_Lamed,
1,2,53,Shkhunat_HaTikva,
1,2,54,South,
1,2,55,Southeast,
1,2,56,Southwest,
1,2,57,Tel_Baruch,
1,2,58,Tel_Haim,
1,2,59,Tzahala,
1,2,60,Tzahalon,
1,2,61,Yad_Eliyahu,
1,2,62,Yafo_C,
1,2,63,Yafo_HaAtika,
1,2,64,Yehuda_HaMaccabi,
1,2,65,Yisgav,
1,3,1,Abu_Tor,
1,3,2,American_Colony,
1,3,3,Armenian_Quarter,
1,3,4,Armon,
1,3,5,Arnona,
1,3,6,Arzei_HaBira,
1,3,7,Atarot,
1,3,8,Bab_a_Zahara,
1,3,9,Bab_Huta,
1,3,10,Baka,
1,3,11,Batei_Munkacs,
1,3,12,Batei_Saidoff,
1,3,13,Batei_Ungarin,
1,3,14,Batei_Warsaw,
1,3,15,Bayit_VeGan,
1,3,16,Beit_David,
1,3,17,Beit_HaKerem,
1,3,18,Beit_Hanina,
1,3,19,Beit_Orot,
1,3,20,Beit_Safafa,
1,3,21,Beit_Yaakov,
1,3,22,Beit_Yisrael,
1,3,23,Bezetha,
1,3,24,Bukharim_quarter,
1,3,25,Christian_Quarter,
1,3,26,City_of_David,
1,3,27,East_Jerusalem,
1,3,28,East_Talpiot,
1,3,29,Ein_Karem,
1,3,30,Emek_Refaim,
1,3,31,Even_Yisrael,
1,3,32,Ezrat_Torah,
1,3,33,Ezrat_Yisrael,
1,3,34,French_Hill,
1,3,35,German_Colony,
1,3,36,Geula,
1,3,37,Gilo,
1,3,38,Givat_Beit_HaKerem,
1,3,39,Givat_HaMatos,
1,3,40,Givat_HaMivtar,
1,3,41,Givat_Massuah,
1,3,42,Givat_Mordechai,
1,3,43,Givat_Oranim,
1,3,44,Givat_Ram,
1,3,45,Givat_Shaul,
1,3,46,Greek_Colony,
1,3,47,Har_Homa,
1,3,48,Har_Hotzvim,
1,3,49,Har_Nof,
1,3,50,Hutzot_Hayotzer,
1,3,51,Ir_Ganim,
1,3,52,Isawiya,
1,3,53,Jabel_Mukaber,
1,3,54,Jerusalem,
1,3,55,Jerusalem_Gateway,
1,3,56,Jerusalem_Technology_Park,
1,3,57,Downtown_Triangle,
1,3,58,Jewish_Quarter,
1,3,59,Kafr_Aqab,
1,3,60,Katamon,
1,3,61,Kerem_Avraham,
1,3,62,Kings_Garden,
1,3,63,Kirya_Neemana,
1,3,64,Kiryat_HaLeom,
1,3,65,Kiryat_HaMemshala,
1,3,66,Kiryat_HaYovel,
1,3,67,Kiryat_Itri,
1,3,68,Kiryat_Mattersdorf,
1,3,69,Kiryat_Menachem,
1,3,70,Kiryat_Menachem_Begin,
1,3,71,Kiryat_Moshe,
1,3,72,Kiryat_Sanz,
1,3,73,Kiryat_Shmuel,
1,3,74,Kiryat_Shomrei_Emunim,
1,3,75,Kiryat_Wolfson,
1,3,76,Knesset_Yisrael,
1,3,77,Lifta,
1,3,78,Maale_HaZeitim,
1,3,79,Maalot_Dafna,
1,3,80,Mahane_Israel,
1,3,81,Mahane_Yehuda,
1,3,82,Malha,
1,3,83,Mamilla,
1,3,84,Mazkeret_Moshe,
1,3,85,Mea_Shearim,
1,3,86,Mekor_Baruch,
1,3,87,Mekor_Chaim,
1,3,88,Mishkenot_Shaananim,
1,3,89,Moroccan_Quarter,
1,3,90,Motza,
1,3,91,Muristan,
1,3,92,Muslim_Quarter,
1,3,93,Musrara,
1,3,94,Nachlaot,
1,3,95,Nahalat_Shimon,
1,3,96,Nahalat_Shiva,
1,3,97,Nayot,
1,3,98,Neve_Granot,
1,3,99,Neve_Shaanan,
1,3,100,Neve_Yaakov,
1,3,101,Nof_Zion,
1,3,102,Ohel_Shlomo,
1,3,103,Old_City_,
1,3,104,Mount_of_Olives,
1,3,105,Pat,
1,3,106,Pisgat_Zeev,
1,3,107,Al_Ram,
1,3,108,Ramat_Beit_HaKerem,
1,3,109,Ramat_Denya,
1,3,110,Ramat_Eshkol,
1,3,111,Ramat_Rachel,
1,3,112,Ramat_Sharett,
1,3,113,Ramat_Shlomo,
1,3,114,Ramot_Polin,
1,3,115,Ramot,
1,3,116,Ras_al_Amud,
1,3,117,Ras_Khamis,
1,3,118,Rassco_,
1,3,119,Rehavia,
1,3,120,Ring_Neighborhoods,
1,3,121,Romema,
1,3,122,Russian_Compound,
1,3,123,Sanhedria,
1,3,124,Sanhedria_Murhevet,
1,3,125,Shaarei_Hesed,
1,3,126,Shaarei_Yerushalayim,
1,3,127,Sharafat_East_Jerusalem,
1,3,128,Sheikh_Badr,
1,3,129,Sheikh_Jarrah,
1,3,130,Shikun_Chabad,
1,3,131,Shimon_HaTzadik,
1,3,132,Shmuel_HaNavi,
1,3,133,Shuafat,
1,3,134,Silwan,
1,3,135,Sur_Baher,
1,3,136,Talbiya,
1,3,137,Talpiot,
1,3,138,Tel_Arza,
1,3,139,At_Tur,
1,3,140,Umm_Tuba,
1,3,141,Unsdorf,
1,3,142,Wadi_al_Joz,
1,3,143,Al_Walaja,
1,3,144,Yefeh_Nof,
1,3,145,Yemin_Moshe,
1,3,146,Zikhron_Moshe,
1,3,147,Zikhron_Tuvya,
1,3,148,Zikhron_Yosef,
1,3,149,Mount_Zion,
