ID_Digital_Signage,Country,City,Neighborhoods,Address,Geo_Location,Type,Price_Min,Owner,
1,Israel,Haifa,Bat_Galim,aBat_Galim1,gBat_Galim1,2,4,CTV,
=A2+1,Israel,Haifa,Denia,aDenia2,gDenia2,4,8,CTV,
=A3+1,Israel,Haifa,French_Carmel,aFrench_Carmel3,gFrench_Carmel3,1,2,CTV,
=A4+1,Israel,Haifa,German_Colony,aGerman_Colony4,gGerman_Colony4,3,6,CTV,
=A5+1,Israel,Haifa,Hadar_HaCarmel,aHadar_HaCarmel5,gHadar_HaCarmel5,2,4,CTV,
=A6+1,Israel,Haifa,Kababir,aKababir6,gKababir6,2,4,CTV,
=A7+1,Israel,Haifa,Kiryat_Eliezer,aKiryat_Eliezer7,gKiryat_Eliezer7,5,10,CTV,
=A8+1,Israel,Haifa,Kiryat_Haim,aKiryat_Haim8,gKiryat_Haim8,2,4,CTV,
=A9+1,Israel,Haifa,Kiryat_Shmuel,aKiryat_Shmuel9,gKiryat_Shmuel9,1,2,CTV,
=A10+1,Israel,Haifa,Kiryat_Shprintzak,aKiryat_Shprintzak10,gKiryat_Shprintzak10,2,4,ATV,
=A11+1,Israel,Haifa,Matam,aMatam11,gMatam11,4,8,ATV,
=A12+1,Israel,Haifa,Merkaz_HaCarmel,aMerkaz_HaCarmel12,gMerkaz_HaCarmel12,4,8,ATV,
=A13+1,Israel,Haifa,Neve_Shaanan,aNeve_Shaanan13,gNeve_Shaanan13,1,2,ATV,
=A14+1,Israel,Haifa,Ramat_Begin,aRamat_Begin14,gRamat_Begin14,5,10,ATV,
=A15+1,Israel,Haifa,Ramat_HaTishbi,aRamat_HaTishbi15,gRamat_HaTishbi15,2,4,BTV,
=A16+1,Israel,Haifa,Romema,aRomema16,gRomema16,4,8,BTV,
=A17+1,Israel,Haifa,Vardia,aVardia17,gVardia17,1,2,BTV,
=A18+1,Israel,Haifa,Wadi_Nisnas,aWadi_Nisnas18,gWadi_Nisnas18,5,10,BTV,
=A19+1,Israel,Haifa,Wadi_Salib,aWadi_Salib19,gWadi_Salib19,1,2,BTV,
=A20+1,Israel,Haifa,French_Carmel,aFrench_Carmel20,gFrench_Carmel20,3,6,CTV,
=A21+1,Israel,Haifa,German_Colony,aGerman_Colony21,gGerman_Colony21,5,10,ATV,
=A22+1,Israel,Haifa,Hadar_HaCarmel,aHadar_HaCarmel22,gHadar_HaCarmel22,1,2,ATV,
=A23+1,Israel,Haifa,Kababir,aKababir23,gKababir23,4,8,ATV,
=A24+1,Israel,Haifa,Kiryat_Eliezer,aKiryat_Eliezer24,gKiryat_Eliezer24,1,2,ATV,
=A25+1,Israel,Haifa,Kiryat_Haim,aKiryat_Haim25,gKiryat_Haim25,4,8,ATV,
=A26+1,Israel,Haifa,Kiryat_Shmuel,aKiryat_Shmuel26,gKiryat_Shmuel26,4,8,BTV,
=A27+1,Israel,Haifa,Kiryat_Shprintzak,aKiryat_Shprintzak27,gKiryat_Shprintzak27,5,10,BTV,
=A28+1,Israel,Haifa,Kiryat_Eliezer,aKiryat_Eliezer28,gKiryat_Eliezer28,2,4,BTV,
=A29+1,Israel,Haifa,Kiryat_Haim,aKiryat_Haim29,gKiryat_Haim29,4,8,BTV,
=A30+1,Israel,Haifa,Kiryat_Shmuel,aKiryat_Shmuel30,gKiryat_Shmuel30,4,8,CTV,
=A31+1,Israel,Haifa,Kiryat_Shprintzak,aKiryat_Shprintzak31,gKiryat_Shprintzak31,4,8,ATV,
=A32+1,Israel,Haifa,Matam,aMatam32,gMatam32,3,6,ATV,
=A33+1,Israel,Haifa,Merkaz_HaCarmel,aMerkaz_HaCarmel33,gMerkaz_HaCarmel33,2,4,CTV,
=A34+1,Israel,Haifa,Neve_Shaanan,aNeve_Shaanan34,gNeve_Shaanan34,1,2,CTV,
=A35+1,Israel,Haifa,Ramat_Begin,aRamat_Begin35,gRamat_Begin35,4,8,CTV,
=A36+1,Israel,Haifa,Ramat_HaTishbi,aRamat_HaTishbi36,gRamat_HaTishbi36,3,6,CTV,
=A37+1,Israel,Haifa,Bat_Galim,aBat_Galim37,gBat_Galim37,3,6,ATV,
=A38+1,Israel,Haifa,Denia,aDenia38,gDenia38,3,6,ATV,
=A39+1,Israel,Haifa,French_Carmel,aFrench_Carmel39,gFrench_Carmel39,5,10,ATV,
=A40+1,Israel,Haifa,Ramat_Begin,aRamat_Begin40,gRamat_Begin40,4,8,BTV,
None,None,None,None,None,None,None,None,None,
